"Distance","loc 00001","loc 00002","loc 00003","loc 00004","loc 00005","loc 00006","loc 00007","loc 00008","loc 00009","loc 00010","loc 00011","loc 00012","loc 00013","loc 00014","loc 00015","loc 00016","loc 00017","loc 00018","loc 00019","loc 00020","loc 00021","loc 00022","loc 00023","loc 00024","loc 00025","loc 00026","loc 00027","loc 00028","loc 00029","loc 00030","loc 00031","loc 00032","loc 00033","loc 00034","loc 00035","loc 00036","loc 00037","loc 00038","loc 00039","loc 00040","loc 00041","loc 00042","loc 00043","loc 00044","loc 00045","loc 00046","loc 00047","loc 00048","loc 00049","loc 00050","loc 00051","loc 00052","loc 00053","loc 00054","loc 00055","loc 00056","loc 00057","loc 00058","loc 00059","loc 00060","loc 00061","loc 00062","loc 00063","loc 00064","loc 00065","loc 00066","loc 00067","loc 00068","loc 00069","loc 00070","loc 00071","loc 00072","loc 00073","loc 00074","loc 00075","loc 00076","loc 00077","loc 00078","loc 00079","loc 00080","loc 00081","loc 00082","loc 00083","loc 00084","loc 00085","loc 00086","loc 00087","loc 00088","loc 00089","loc 00090","loc 00091","loc 00092","loc 00093","loc 00094","loc 00095","loc 00096","loc 00097","loc 00098","loc 00099","loc 00100"
"loc 00001",0.000000000000000,0.489975852157278,0.443235897089166,0.453927685597057,0.342405969051776,0.473857219511929,0.272384330450163,0.501043928500163,0.428965325293234,0.346721762103618,0.459856970929618,0.269282819587036,0.548321181659229,0.402932286240636,0.384068053314911,0.328052942694426,0.517452863692258,0.575875578559073,0.398562467111482,0.404483726169423,0.368993116677644,0.512969865475427,0.357213110545314,0.342817351276966,0.618355435628693,0.519388587369756,0.325476120155761,0.307156525788092,0.428337125989934,0.555424372838695,0.416214304048118,0.699274843291999,0.436324389106173,0.306164051076493,0.372871928232357,0.309557104566596,0.670490738103418,0.240120077022892,0.326745019455435,0.447350400457906,0.760154142221125,0.362970515670758,0.258021464787497,0.395556346519809,0.721303549099662,0.162355812201745,0.304933548190203,0.447368558797767,0.438152580366931,0.236902609832726,0.323372101303109,0.380194792806882,0.354519626013195,0.342588575777826,0.357251464988206,0.272168291687410,0.353332231789540,0.417161308542183,0.646190992033047,0.399221740141427,0.333406903728349,0.281571098156597,0.408272242138975,0.194668339012367,0.338014829423872,0.416624152776351,0.498708067798363,0.442659466912762,0.302938821860236,0.423458496724475,0.409734434890990,0.454211736273867,0.314782557504963,0.211490924635412,0.315699595845559,0.403964073383204,0.101294015042850,0.643327040922929,0.490713726403316,0.527464008561185,0.200172831597667,0.292567951359114,0.524274989505465,0.373922726154242,0.265289171289451,0.133024136722795,0.429966500254385,0.338108610738841,0.376081157141131,0.378722045313856,0.311166029664144,0.289802895318332,0.430223294146766,0.370475250568401,0.338970961500464,0.398920544226304,0.470235046643329,0.592657252363121,0.467371123866028,0.382973402333790
"loc 00002",0.489975852157278,0.000000000000000,0.756832279369583,0.805725174387326,0.749948421875859,0.800462875010851,0.690812191968598,0.048702428314822,0.766299347484900,0.682463892476681,0.093159569592604,0.651821943555974,0.390393984467641,0.741407824086156,0.796347503933398,0.555958527145721,0.789872005626702,0.895737195905935,0.728682813424536,0.703514304672372,0.454272612234504,0.062680125068467,0.749324049488278,0.878297641829223,0.776253425750935,0.799284946387653,0.687273627582386,0.224292614262097,0.727223253350342,0.792114702222387,0.758051202508680,0.770521980756212,0.742636724556703,0.801081847538474,0.734026657570681,0.754585263398921,0.072167425038722,0.628739989264638,0.661867094113631,0.753959555358725,0.856728419909787,0.718816682247239,0.186849538575814,0.708327164806739,0.100669777055083,0.746928162470532,0.383550424718034,0.798508978802696,0.833424699893054,0.808773905790661,0.702391557042287,0.756411123326119,0.728053221872076,0.768812750121543,0.851397786989035,0.842020456840827,0.510824252290036,0.744514003547895,0.804906356174510,0.709295610509056,0.739221582773552,0.843011728236114,0.745220424078329,0.759953908281890,0.725421819016307,0.770282328822916,0.782579767812697,0.056210243582934,0.721574619734950,0.706415890609352,0.663955660487383,0.765938481591821,0.602301654105626,0.705106118479094,0.725893396819927,0.765275229684033,0.512475334976631,0.788130553772342,0.825020766048591,0.779584645680304,0.680313267288656,0.364113596862048,0.975519274015493,0.749404699185501,0.699859902948476,0.726046328943074,0.783589569844168,0.907186454041826,0.805540631093403,0.725253870267187,0.499416983669439,0.859172184871670,0.585697637745606,0.761142037342191,0.682181492528168,0.733530186376415,0.798547487595344,0.810236742701680,0.786604946865366,0.751277627583017
"loc 00003",0.443235897089166,0.756832279369583,0.000000000000000,0.222124442260422,0.122217126057443,0.319834483464156,0.228698602136786,0.732902390346301,0.034352281973589,0.239015857892345,0.601182286038145,0.205236584460511,0.594612634234199,0.246449560204083,0.711638274607173,0.151352561377985,0.156896204408842,0.833883752219577,0.552429623881680,0.338933645730103,0.261382837074356,0.776186219239907,0.126659510301263,0.730261547320111,0.425181410248804,0.104948952909420,0.267389507708227,0.333733074192808,0.149521706724951,0.356603951674011,0.130765673924293,0.783835097894787,0.089911652104577,0.548780792717359,0.168124163187022,0.332430948297524,0.957206763292452,0.246354346793307,0.137292722684820,0.124948824673313,0.524488816869057,0.174709853856653,0.618057749257425,0.178000528233202,1.000000000000000,0.442427664976936,0.245948324734348,0.159910255947144,0.534436437204588,0.506489203896496,0.176878195308972,0.096939248788100,0.221486968403682,0.261521189746306,0.710747955106506,0.677419674519862,0.243023707874672,0.069828607305865,0.383585453687873,0.099967759939120,0.168512925822394,0.691349328483702,0.130391095186719,0.400347171725589,0.141852202682644,0.059353811925114,0.071039561262071,0.613747730150265,0.138247202434798,0.545915659289167,0.248648824273871,0.110005588723157,0.220876853542118,0.199288640986756,0.207586765007520,0.444958448265528,0.360772932321366,0.353643972328085,0.277603848786707,0.454130080089075,0.245415551020185,0.196131860093540,0.966357871734816,0.109315989619654,0.237558365008511,0.366014021512407,0.189622954740694,0.800989646064871,0.586649528651324,0.177962465960469,0.460613352083879,0.645447767324414,0.107896171442846,0.286854198956181,0.283568478150062,0.082607826898217,0.504886265208647,0.587073187878297,0.066414923991072,0.257227958188875
"loc 00004",0.453927685597057,0.805725174387326,0.222124442260422,0.000000000000000,0.142701679685297,0.653879027590778,0.205116490946376,0.784265369762573,0.150132014408245,0.185756970920574,0.704933092909249,0.199534890363291,0.794155749300908,0.197911613966402,0.851438194296851,0.105647346221938,0.258723014548417,0.948640213886627,0.583484270326331,0.346314854336730,0.442579390618811,0.843010363294893,0.124662241160710,0.742598958038448,0.713681768723844,0.234461457766515,0.193792090647254,0.497473616910072,0.300910700080084,0.438655895491278,0.082971105159080,0.901635539153560,0.230863999066513,0.534185202569985,0.043638051165277,0.288394499566930,0.962110820876473,0.272330945294993,0.210270527266486,0.245107334258980,0.740917517225213,0.264493485060274,0.706060657208243,0.237488835970228,1.000000000000000,0.407342467832724,0.448610841021103,0.028545752215741,0.789232737752313,0.451232182573326,0.275625236780346,0.086718296308374,0.348141164659571,0.283113157252387,0.804759134617026,0.714019467933612,0.427111660742450,0.253931858768834,0.638858303146632,0.258664528794827,0.137485705453790,0.772543336105288,0.055500158172170,0.321940935760472,0.152779922366646,0.083570195428721,0.322096594254151,0.711376064641468,0.185850467687658,0.421550569085405,0.379694768742086,0.190837323444985,0.216342941663372,0.182511991055163,0.281852697555171,0.445727616256248,0.381447991018970,0.641618134258415,0.074872832657306,0.564848023180365,0.239643431938454,0.338370511888333,0.977142028816077,0.069382365688354,0.230063707926127,0.419330954828246,0.025557739386895,0.757693024372917,0.796809468857225,0.163429961845539,0.426256433269323,0.735835719620190,0.288269853853426,0.188305639144243,0.200992843445831,0.183992191672242,0.458286069333516,0.782588233600677,0.114151473465437,0.201739647525932
"loc 00005",0.342405969051776,0.749948421875859,0.122217126057443,0.142701679685297,0.000000000000000,0.474357649351082,0.128935642157720,0.724312495455278,0.082349827851450,0.198358754887262,0.595821890452998,0.099885430673669,0.706830935462824,0.240950305977665,0.705733847532651,0.121181974309314,0.258065695691521,0.833932670117763,0.588726013235283,0.335856716054837,0.235472326492434,0.739027519196703,0.083114756315562,0.664339311664690,0.641502324193441,0.225043236811524,0.193603724952812,0.349121634075576,0.155420490564234,0.462624404049883,0.099760460865433,0.879691257533639,0.130411472668394,0.449071125685178,0.123731676430230,0.307066518790710,0.955881320668632,0.232050931173178,0.106959062822714,0.218453935255589,0.736874313829218,0.167771039368058,0.540005104610700,0.247670430061961,0.999999999999999,0.313578944339547,0.232824514340709,0.109101107105132,0.621781256972646,0.403535241063836,0.121273883562915,0.085180363390760,0.177547469961343,0.230356006976792,0.609999861353185,0.550529754829101,0.210561799838694,0.101605344058694,0.592556544556450,0.123564891349215,0.130492073248612,0.578828032643158,0.108881313996049,0.233683695655547,0.066340433681437,0.093678747346555,0.197496253375238,0.612570987126076,0.110926414580766,0.490616838275767,0.286954539273703,0.082479154386419,0.170842028345859,0.102549403229451,0.205866389766598,0.378814876991238,0.267645323586899,0.529944339340509,0.187885529853213,0.486405158899022,0.132183990016287,0.194434523405062,0.914905866848863,0.071933576823821,0.115273714511310,0.294287661602563,0.116658782754295,0.666804869663764,0.607364134337663,0.162533213145286,0.397879303902339,0.570494556064582,0.198151541360472,0.188576949382227,0.235352064525824,0.115780934891805,0.410147158289522,0.680857822214418,0.102106311013285,0.214313208732246
"loc 00006",0.473857219511929,0.800462875010851,0.319834483464156,0.653879027590778,0.474357649351082,0.000000000000000,0.508881259112484,0.801892142970510,0.396209153540074,0.575078486925558,0.687914846673624,0.474291760286917,0.475283406307364,0.552234192159920,0.377656305860824,0.542277277284800,0.375279323948262,0.520160471759381,0.438890733453753,0.593069942313085,0.504904438364566,0.785227540490022,0.477538700389181,0.592753828658750,0.281610573261279,0.333196913076532,0.563464544064599,0.504307621515958,0.461906652716081,0.438953688048103,0.527464424238652,0.609100429267124,0.419233325173616,0.561980840552091,0.569729220693651,0.511863421846652,0.958823228356132,0.396421759582462,0.420489717632141,0.378802381621549,0.377403849519426,0.477693315004685,0.612917691292170,0.483964323296150,1.000000000000000,0.497795352820335,0.431195443359800,0.579917154718593,0.155292204576508,0.509186579043686,0.435811978839143,0.477746580009965,0.414328014324296,0.502937428283004,0.495353545222600,0.513164407755890,0.464027892538771,0.329321091293538,0.309552044705161,0.391482680957012,0.515531205240945,0.497498970354429,0.541318929984794,0.486230244903495,0.487186575231733,0.450058520529075,0.263950885691473,0.696789556980744,0.415302674790921,0.709188100466384,0.484999008303027,0.505610044554288,0.479026218921292,0.438979208987257,0.409029542849231,0.600066217494048,0.444763393558331,0.265970339205840,0.640059365067829,0.499981610103570,0.457178082520103,0.467420360964920,0.723146848093608,0.500864637009198,0.508048211699962,0.389184115356522,0.599877320887586,0.657175306739934,0.286840525890701,0.529973048361305,0.667325143330795,0.484381899252137,0.408889964640703,0.575633027202856,0.595078777677575,0.406372630464139,0.673783819031597,0.431854026384836,0.444654675669428,0.513482190655231
"loc 00007",0.272384330450163,0.690812191968598,0.228698602136786,0.205116490946376,0.128935642157720,0.508881259112484,0.000000000000000,0.721917948019886,0.197334199814648,0.188803446226426,0.623671404335041,0.055775938914274,0.556462999334234,0.203931471123990,0.617413483374394,0.190051928259121,0.306253167231069,0.640947274071781,0.466313740468657,0.271238381442333,0.349419516744564,0.743933227226255,0.128819703273164,0.604235596448994,0.623673353255481,0.302115288095716,0.088106559606158,0.321612460702538,0.183671315114838,0.409439687234080,0.156743522032407,0.751444582626263,0.221718955826005,0.360505060311050,0.159613760496642,0.208581508969079,0.927493660114133,0.169750833278504,0.087348733843762,0.225107957990165,0.703869468125013,0.106769235872543,0.427598760243573,0.248267466273880,0.977665732366174,0.248009286127623,0.320205330283079,0.201570746639551,0.562941153234316,0.317702590903458,0.119414123544724,0.130669933529753,0.150997128042184,0.206349434092103,0.590460833747712,0.498229026659780,0.324890881042840,0.199472901103490,0.599737921951313,0.149259339477730,0.135984571793095,0.562873666267727,0.176028846305953,0.178231382540164,0.091113932034143,0.180737417543985,0.312962837495093,0.604899928780057,0.096224307285117,0.324496032788335,0.276317230832075,0.246931739444657,0.175179068647687,0.083106450926548,0.197028373058548,0.212855431352945,0.195553995174794,0.471597278032313,0.255039114686042,0.389598674943435,0.053011927337551,0.237892286079384,0.875981286084296,0.126795878366348,0.044344330902192,0.262141728832303,0.172461260068942,0.600236237744495,0.458075391254433,0.194788032592481,0.275116302784101,0.554405641996562,0.310219963811028,0.121379277877521,0.199694657055884,0.130048680690303,0.319072119691525,0.472756385776777,0.218569733117320,0.125694485489117
"loc 00008",0.501043928500163,0.048702428314822,0.732902390346301,0.784265369762573,0.724312495455278,0.801892142970510,0.721917948019886,0.000000000000000,0.729225951905061,0.698786038189987,0.043649173901481,0.675539171836823,0.441364392809511,0.762548191940444,0.842441515607561,0.529234694077931,0.787238469620787,0.957122704252037,0.764520678164325,0.735181127700868,0.382718830097922,0.039235949536293,0.746428513122511,0.903841854869840,0.785237034456436,0.781492299007179,0.733090770386925,0.211641287070767,0.722406818143059,0.822807615177108,0.753008229291488,0.833521632676492,0.707975331010196,0.837095321588793,0.714473973454305,0.796658156296369,0.061487797331473,0.661132340813286,0.679501202195125,0.762185529392690,0.885159637240231,0.726037493324573,0.196242098764566,0.718517652352036,0.117528318243015,0.774500937434835,0.340883758636347,0.764717250434558,0.870396072018744,0.851565582171045,0.712518816735151,0.745001556027541,0.754549102747194,0.772813272202873,0.858372793755919,0.872841084593190,0.445087314335401,0.732010459217031,0.771634665004209,0.711536108918935,0.745682672928238,0.846683269004573,0.713430214993972,0.791405511563081,0.731729616057857,0.748114966515016,0.749764065488118,0.062475189514261,0.744629451286420,0.768431182749493,0.685360048395787,0.713964242230891,0.595957835860770,0.721960049176737,0.721587750094542,0.803986699043741,0.558209048293508,0.814199696978672,0.809232363732939,0.829941113025928,0.713336738498332,0.354468464168480,0.989399718586001,0.735873606346372,0.730344174930778,0.746015132820631,0.769109307918174,0.937557067701665,0.862719989850438,0.719529636250399,0.523685949365998,0.866999602479570,0.526570667374127,0.798588234472256,0.706535556026109,0.739615923102803,0.833503721525894,0.874851508845249,0.748535043583579,0.795043731866392
"loc 00009",0.428965325293234,0.766299347484900,0.034352281973589,0.150132014408245,0.082349827851450,0.396209153540074,0.197334199814648,0.729225951905061,0.000000000000000,0.225528033016069,0.595423448832565,0.180171647817201,0.643950144127277,0.252619510350120,0.742677336366137,0.105456478074111,0.174965627910176,0.868540953068799,0.587803291043796,0.361382929399608,0.234094657055012,0.776757952100886,0.097837513569625,0.728150897865165,0.534582372707112,0.119366943661878,0.237974834765656,0.342406173139844,0.125490288452589,0.376293110564978,0.075174102767249,0.827114068968776,0.072818814658587,0.564582913594075,0.113841051929232,0.350379217951498,0.956441067082645,0.246545595277171,0.121221187962779,0.122041573037612,0.604426409177337,0.160559630729015,0.628574956732172,0.206650978273433,1.000000000000000,0.420839848031804,0.238753836061987,0.103805525494025,0.606960416110387,0.496672749880566,0.185805943455809,0.068414570425553,0.261336971297921,0.283022387083755,0.709045175414418,0.671105967597634,0.217641086156266,0.073154133304471,0.452631612086922,0.075854666679688,0.154561153392800,0.694267061508467,0.077908473569103,0.354349671463874,0.087361976446883,0.043763285927967,0.105752555555294,0.615558945797886,0.147764547167867,0.533107725711716,0.266454911072026,0.061552363081312,0.222309979356392,0.181710350388290,0.208138673342081,0.458470780480978,0.337761264944339,0.406258572602858,0.222338952949464,0.496386514054346,0.223139580582667,0.189867859940026,0.962545257231612,0.070707128966467,0.214876048727941,0.372165948221508,0.117284478297866,0.772117470218125,0.638567722731674,0.157907106948766,0.471846454363474,0.663859834206349,0.098085411177073,0.270186888387023,0.277579182503056,0.053446414800406,0.506044068019782,0.634700230789602,0.026982913464572,0.255259330712149
"loc 00010",0.346721762103618,0.682463892476681,0.239015857892345,0.185756970920574,0.198358754887262,0.575078486925558,0.188803446226426,0.698786038189987,0.225528033016069,0.000000000000000,0.615516541988413,0.180287478123562,0.667827162073058,0.075286413617683,0.684626112559502,0.195278139700329,0.283179364841303,0.840723864247858,0.459545955841611,0.090072231017008,0.400504186181582,0.744407695980508,0.133208063532484,0.666228513336097,0.498496700486202,0.311290852104958,0.112233355275900,0.408862316942484,0.308012411432537,0.401386897873651,0.168871170766986,0.733987170331732,0.254201862699350,0.318521104207862,0.124876895034640,0.140382925864631,0.887811696651336,0.139507638690885,0.190393301546154,0.213526654263545,0.627804973459646,0.225272760297558,0.562447244252382,0.071410275417135,0.929570728324652,0.303662106682326,0.357755868412870,0.208946181459535,0.674089962193084,0.340509855207235,0.138118369856898,0.127893726053363,0.202730482199242,0.146709291954610,0.763638586649871,0.634242055910508,0.385868373407961,0.261388769357133,0.567057061818085,0.266718881741483,0.074359901052942,0.722323165703358,0.199484736356732,0.342218853954182,0.170766058644619,0.149950947562016,0.338085282636947,0.611238976173726,0.115343967997994,0.206098312680184,0.116858418134765,0.265271804275726,0.182196403109151,0.125432282406119,0.150796402778013,0.252481204402778,0.274133157535453,0.562029565624622,0.223344311906397,0.324820113806489,0.187035999459909,0.244212640400519,0.941865764891439,0.148054306019933,0.163726971552804,0.281427008673600,0.206885860360767,0.754184775072412,0.700916475144132,0.054978889654373,0.224021598420845,0.676474591371493,0.318214509422364,0.156471872134276,0.024064771080685,0.249104290090866,0.259869092894056,0.704858959610636,0.234118672496293,0.169960469870282
