"Distance","loc 00001","loc 00002","loc 00003","loc 00004","loc 00005","loc 00006","loc 00007","loc 00008","loc 00009","loc 00010","loc 00011","loc 00012","loc 00013","loc 00014","loc 00015","loc 00016","loc 00017","loc 00018","loc 00019","loc 00020","loc 00021","loc 00022","loc 00023","loc 00024","loc 00025","loc 00026","loc 00027","loc 00028","loc 00029","loc 00030","loc 00031","loc 00032","loc 00033","loc 00034","loc 00035","loc 00036","loc 00037","loc 00038","loc 00039","loc 00040","loc 00041","loc 00042","loc 00043","loc 00044","loc 00045","loc 00046","loc 00047","loc 00048","loc 00049","loc 00050","loc 00051","loc 00052","loc 00053","loc 00054","loc 00055","loc 00056","loc 00057","loc 00058","loc 00059","loc 00060","loc 00061","loc 00062","loc 00063","loc 00064","loc 00065","loc 00066","loc 00067","loc 00068","loc 00069","loc 00070","loc 00071","loc 00072","loc 00073","loc 00074","loc 00075","loc 00076","loc 00077","loc 00078","loc 00079","loc 00080","loc 00081","loc 00082","loc 00083","loc 00084","loc 00085","loc 00086","loc 00087","loc 00088","loc 00089","loc 00090","loc 00091","loc 00092","loc 00093","loc 00094","loc 00095","loc 00096","loc 00097"
"loc 00001",0.000000000000000,0.016995941556228,0.102149445623869,0.062479807769773,0.701062268010279,0.086366961219601,0.034515070596608,0.470699503837152,0.096804333131257,0.044078196865003,0.960933975648296,0.075543915017891,0.049157086378878,0.029072609789249,0.258151117474156,0.465991568601986,0.122001120512007,0.197376314541834,0.034078264269809,0.146343618424196,0.129588675309743,0.505864588586568,0.044767502977774,0.080276218292804,0.807229529158410,0.263275438864140,0.245957011126496,0.552772018062904,0.084840775591159,0.017114884797597,0.771655821000751,0.012751009373240,0.029885465854393,0.009209930858055,0.452163594613815,0.029263539249281,0.009133364672140,0.015688129494669,0.070600872174122,0.513922703790896,0.083888134723581,0.028175003709749,0.025445898522041,0.234339249889943,0.010995236767127,0.007434752675012,0.090844062505888,0.020459529622355,0.024192814892748,0.115794212459674,0.358820570136239,0.060315117610064,0.200907037476546,0.013552827151388,0.048730373990524,1.000000000000000,0.066494199457445,0.382061925790427,0.024607444275355,0.091803734723593,0.214516303163996,0.074213036134217,0.106662047603602,0.004250150533691,0.067373301027446,0.039678733432513,0.038497416475513,0.066235154107629,0.009669628462105,0.131437658578089,0.140638604816614,0.062441424207068,0.074432587553062,0.604317585280279,0.072668405320008,0.060251068009015,1.000000000000000,0.264079311631830,0.111660771493157,0.372713316988011,0.285441136168907,0.885995876321820,0.482882164338178,1.000000000000000,0.058795889803054,0.192354844197118,0.045124531326952,0.625175146696356,0.030009186956402,0.165383226885032,0.051294879207878,0.174998226556070,0.102226430726510,0.435735436470752,0.227931784008144,0.202825925065035,0.791743748966533
"loc 00002",0.016995941556228,0.000000000000000,0.049576384769737,0.043104623913958,0.568861604450133,0.038721251421371,0.028133898231994,0.363987126301272,0.046734958605929,0.030784387798003,0.810466516890142,0.033405954712071,0.039451879165928,0.030505541875679,0.173509181899703,0.356375491339480,0.194603025700346,0.155642519532298,0.023363451971378,0.088464107076680,0.197947520610924,0.395269271606329,0.019959009375875,0.047302477645588,0.668427189263998,0.205603234032966,0.194504538553632,0.457577675481546,0.143128623352763,0.022720066165036,0.627440453457266,0.014005810143722,0.056100243210915,0.011728910480717,0.347477464350235,0.036542583137247,0.014922920100414,0.016437193643984,0.037020098132784,0.400223459890180,0.106694257216818,0.019907809343397,0.037436422624421,0.168992324002024,0.038860916561840,0.012325722207974,0.049972445178703,0.016853755764300,0.041417092055881,0.200158297780182,0.263732940041688,0.027451246649498,0.197899687244166,0.017489487648248,0.013648848163150,0.890777834381414,0.103726504574175,0.303654148177098,0.035465544365751,0.071467925249691,0.202074281560679,0.051478595850694,0.052214742543448,0.019439404734687,0.033959208204884,0.075666332487412,0.043177952655357,0.053236562262885,0.005134704104355,0.215574822181982,0.085894502435622,0.021049996842148,0.135916848864127,0.486373932030560,0.135161707194584,0.027365249922389,0.974393442655097,0.182575306588303,0.099495238533884,0.276254101364948,0.224237528350172,0.733235081913886,0.381725449790191,1.000000000000000,0.021584706263792,0.139007445501885,0.070117583132387,0.505318367302776,0.067054492080157,0.110965820003750,0.091192282484927,0.132826521785816,0.049444869445289,0.328524981931874,0.157921010334437,0.136503476871438,0.654682595884144
"loc 00003",0.102149445623869,0.049576384769737,0.000000000000000,0.058138319087486,0.306993781051668,0.001301416814727,0.071502098536800,0.164868066204792,0.000456363238239,0.071144018828726,0.495517487710078,0.004067226185589,0.066543884460859,0.055716746105772,0.041130063588799,0.150722672608895,0.366880524201293,0.107855849299876,0.066149999183492,0.008466363696387,0.338825935126282,0.185378010960059,0.015447214694644,0.035856980057245,0.384306463299902,0.113143152082520,0.130490790768694,0.253619908793910,0.322881786668371,0.105382676760080,0.341581795359537,0.067331989815447,0.110808586020807,0.078728112988477,0.153316948562625,0.070452179250220,0.090800447112351,0.054306150582129,0.011085269900343,0.182953989680411,0.168686141131222,0.059081748171600,0.107178033364396,0.062735651651059,0.148457900559018,0.078851710636271,0.008581107812379,0.043356611550279,0.120230802573008,0.368933723867756,0.092126354444007,0.025286178160951,0.189008586615755,0.060217417481121,0.021697864088170,0.565742878684816,0.198681251225466,0.152114250735962,0.104162875572231,0.048503992877274,0.175031342140058,0.031286156271402,0.000465387845556,0.104749278974709,0.007919647854450,0.185682820242508,0.093716337094142,0.069543425482076,0.059160815467597,0.405565610240405,0.008446840535167,0.013357594992703,0.293147341072424,0.247793424647670,0.312482430894636,0.008148193507677,0.616288220573345,0.056016445082487,0.098001894693912,0.099973498429625,0.142383288119333,0.426854964920922,0.185617138858720,0.722684563846250,0.008356783896084,0.055414931082266,0.152485273021756,0.258116315911024,0.201754963236933,0.046693195722872,0.205768978966244,0.042308889367014,0.001612403062526,0.137824000918822,0.052000386999499,0.041928151269789,0.383925380620770
"loc 00004",0.062479807769773,0.043104623913958,0.058138319087486,0.000000000000000,0.500770725662374,0.055538029353882,0.013125094334856,0.324452039833086,0.055072067694282,0.019303578022264,0.680436326657114,0.051675425298948,0.005528646494230,0.053955436474693,0.149406607318915,0.303989332273408,0.193550494749314,0.053409209555548,0.007199885396650,0.068686279182677,0.171948020808022,0.346016264691248,0.028587656897769,0.007791510558183,0.582854084396099,0.091825197430478,0.083392755087275,0.331258530831752,0.225153543469730,0.042481843507311,0.542933421122623,0.054352961519374,0.063792107017696,0.059734138071262,0.266060544538082,0.064211507640877,0.049696351829718,0.039405131887857,0.042035750887011,0.346261149506024,0.043289060034675,0.016772400068251,0.026134751417000,0.140250965099904,0.106072661085528,0.060023924000334,0.041349155715861,0.036863448293188,0.033377599925990,0.229866953687423,0.207045405016646,0.012325501729286,0.076067274402669,0.039484765131022,0.022761218017816,0.761989153802998,0.065313854012569,0.198453790355519,0.027156363566068,0.076706639117164,0.072066192182859,0.044630570198330,0.063898577952915,0.060647471139529,0.039642031807159,0.067746807071131,0.014203438503044,0.003768254943248,0.049657730159076,0.246658635241328,0.067194686041480,0.028535299503097,0.154611847419256,0.393131223094053,0.198674098742427,0.038061115650867,0.861559648026737,0.127980546025374,0.015528747842821,0.215285763144134,0.104433277322733,0.650065527470139,0.312082581390200,0.989142856025522,0.046818549427198,0.113124398483667,0.040540037397110,0.440421279619461,0.114583507139238,0.041328984439694,0.078210443165192,0.094928634422592,0.052312014398611,0.254224077282297,0.104639404669144,0.092112865814527,0.540418619335417
"loc 00005",0.701062268010279,0.568861604450133,0.306993781051668,0.500770725662374,0.000000000000000,0.339697157714180,0.593251207520729,0.028732688287888,0.317944969720349,0.554171869871363,0.069244615802641,0.363158347182036,0.544734091125479,0.515576404500493,0.128205653404669,0.031583106674681,1.000000000000000,0.387690600020984,0.573254651011578,0.250219995121425,1.000000000000000,0.018906196421809,0.431051956906417,0.416211590534715,0.006839505403331,0.289526724164539,0.375535158112892,0.161022022395246,1.000000000000000,0.696658620144361,0.020469431028230,0.620372264546359,0.631279361183512,0.645012934219797,0.067371696934767,0.542894909278972,0.674434078441906,0.544146076160015,0.390956347460551,0.017919960939172,0.700639913762350,0.573042326838502,0.675314113418054,0.154058071451044,0.803779455076931,0.652457612505654,0.328733164228964,0.518028093362999,0.705986019923038,1.000000000000000,0.093276497824996,0.439540943282322,0.552810415068886,0.568184475931531,0.444991025499439,0.081220404649889,0.803823837627382,0.200187077101923,0.676360856644367,0.355100160117298,0.493716241264637,0.368895178506713,0.304117697299982,0.711717466628952,0.377735753734804,0.829782290200406,0.618018954775977,0.524192705141962,0.601231690805985,1.000000000000000,0.257542722466985,0.413427336535101,1.000000000000000,0.035313982193913,1.000000000000000,0.388252895281430,0.083336844690725,0.144310883469613,0.495663727022759,0.093628749227762,0.345497175327870,0.015347086638666,0.035764556119260,0.106787330331982,0.401132134433187,0.200674577276421,0.741378646312440,0.008938944566357,0.909194924927971,0.302106993910372,0.860079570192008,0.216538342202319,0.304080265163458,0.074424914668864,0.184851762585490,0.200977166617570,0.100356448857289
"loc 00006",0.086366961219601,0.038721251421371,0.001301416814727,0.055538029353882,0.339697157714180,0.000000000000000,0.062978530950803,0.189028094187074,0.000703617634966,0.063501197416509,0.534695505583821,0.001070246682145,0.061051587609632,0.048691199191754,0.054751755595153,0.174251742464824,0.344532296364214,0.113381136716805,0.059046631889267,0.013506509011994,0.323722569845658,0.211266134675967,0.010871862911960,0.034828549429545,0.420653193398496,0.124741576409898,0.137356260753696,0.276637932123591,0.294444543945623,0.090503337300505,0.374775571686502,0.053809284959817,0.099846639994756,0.064683331946432,0.176337151922920,0.062642534153938,0.076936034412104,0.045436272574441,0.007898017661508,0.208713352470655,0.160903489120973,0.050218036708269,0.096460076055543,0.077085183467412,0.128302406086366,0.064096875803552,0.009731430164804,0.035007455090023,0.108648080331826,0.344831614374195,0.109685441167273,0.022252296901076,0.192341339580702,0.050069416136895,0.017079905102584,0.608544960550102,0.186221613368865,0.168587435808850,0.092717683230920,0.051261710703515,0.180313787922533,0.031137396263965,0.001271290925230,0.089477907402023,0.005342343652558,0.170229354868459,0.085809777499690,0.065982698711543,0.046236148077812,0.379506203365660,0.012939331373939,0.009192435065324,0.270368907188366,0.276948350977464,0.286148484852244,0.004530451899909,0.659472621473931,0.069939025949968,0.098708970876609,0.118000707123029,0.151648231444604,0.464651170450056,0.211945845382155,0.769861896283914,0.003387752742557,0.067213744176261,0.140921084391965,0.288440088259471,0.180739272742856,0.052950882318050,0.189601798502913,0.052844885740767,0.004405794832750,0.159416058420677,0.064804630982142,0.053318226271997,0.417181405691012
"loc 00007",0.034515070596608,0.028133898231994,0.071502098536800,0.013125094334856,0.593251207520729,0.062978530950803,0.000000000000000,0.390504653535549,0.066610089264017,0.024076690448038,0.808304629626860,0.055907393362424,0.004368247341876,0.054769185571956,0.192809876695105,0.375860793526040,0.144970034282068,0.103194207967798,0.003654924071481,0.094764876009081,0.142584876535096,0.418983854882835,0.027639555977637,0.027240284844722,0.689527252006738,0.155249726663740,0.139491163694278,0.426533632321779,0.153831087644312,0.019303128229997,0.642646784578097,0.022864131948687,0.044756730191771,0.026801215969991,0.349560879263976,0.064858620612757,0.019186742275905,0.032339442048416,0.039979975616564,0.423159899726887,0.040485357032581,0.001834497460865,0.007781745738954,0.190470509391382,0.060436940538824,0.026362622779427,0.063542109006374,0.030658075066305,0.012544442336982,0.176192218658218,0.271400036275644,0.017253057260610,0.104862438979859,0.029889659295807,0.028804832478160,0.898336977175849,0.045863232245873,0.274452335674069,0.005783816566486,0.092508743621004,0.112231223606557,0.058202999557524,0.076728899560689,0.027710943909070,0.041051316840076,0.037108087283787,0.006068986142859,0.010048804941174,0.025149486473436,0.180932689674219,0.089934265128035,0.033924325883193,0.098947056209765,0.490168272061411,0.129574678875169,0.039430983516289,0.989945494112084,0.184809820704591,0.038849772927402,0.281120071636946,0.166076452466615,0.757076571575941,0.397340886861053,1.000000000000000,0.046350907395052,0.157572330666806,0.022217941157549,0.529836482164399,0.061843175757316,0.083368120440884,0.045345938182898,0.132444525296587,0.069275721652599,0.329385586809370,0.161018214422098,0.143367286601809,0.657052644144664
"loc 00008",0.470699503837152,0.363987126301272,0.164868066204792,0.324452039833086,0.028732688287888,0.189028094187074,0.390504653535549,0.000000000000000,0.173471367457596,0.360458249676348,0.155466290396888,0.206411947657325,0.354084955284411,0.324415138272797,0.047335845590693,0.011698450024627,0.841453183250418,0.264493295912295,0.375375495315226,0.130760064438019,0.750701667193968,0.001432669528815,0.257697774791917,0.256984038781845,0.060570569497184,0.198220042573765,0.265760527006549,0.152036920823881,0.839996802795316,0.471150278186875,0.069587914603789,0.404867466125903,0.413885020577672,0.422595447527232,0.046138020311089,0.347451923235274,0.449100612881931,0.344181020925164,0.228301367975601,0.008379116595307,0.490401333478123,0.372095213945469,0.454416381684727,0.061000687405758,0.556039137940065,0.429523648106756,0.186104015001426,0.324038254638705,0.478978563379335,0.826290010449919,0.048039247985980,0.269997226053112,0.395891972666734,0.364503323433650,0.269766123008150,0.180323603986765,0.569767149362111,0.147186393106746,0.455726643421075,0.195038207030234,0.353384668210774,0.206817029153210,0.163755216699209,0.479825938212332,0.216155047887044,0.583824520672399,0.411288369839359,0.343504837586479,0.388701978359529,0.903625764683675,0.134651965460035,0.247217889723827,0.755800565195582,0.049458847933930,0.809462089317500,0.223623553775600,0.200232892540642,0.067200769417448,0.331601389068854,0.051783048033641,0.249979991821858,0.082749463037637,0.019941976333782,0.242556754085834,0.234368185671833,0.091261151739001,0.513964750386298,0.024643839623518,0.647732063629767,0.182993273352036,0.611704903112513,0.102853364799781,0.161877806785029,0.045719138253109,0.095145499180794,0.101839943551880,0.147309115878799
"loc 00009",0.096804333131257,0.046734958605929,0.000456363238239,0.055072067694282,0.317944969720349,0.000703617634966,0.066610089264017,0.173471367457596,0.000000000000000,0.067284222870229,0.505228993211692,0.002346309290864,0.062038981650171,0.053139705699830,0.045799486767555,0.157991256135809,0.357392435594329,0.104001282071994,0.062354326434591,0.008528753104936,0.331785802344144,0.194247878605976,0.012925097058482,0.033079507767754,0.396193686950487,0.111588795579256,0.125966375600348,0.255082172548936,0.314218285715280,0.099349115245106,0.351051118692202,0.062221355452478,0.105822542290681,0.074620798277675,0.158455564009556,0.067934197127445,0.086395296482959,0.050731213271551,0.008600246338396,0.191343723000628,0.162259553342335,0.054417537226011,0.101740276575870,0.068232364849304,0.142275289186910,0.073924864702770,0.007553804352509,0.040011476542039,0.114775224591962,0.359125347184099,0.095604594619273,0.022880547130552,0.184769926856356,0.056403105386944,0.019926301111798,0.578175564101429,0.191507987113544,0.151872920209761,0.098385540265791,0.050979843198951,0.170777802802656,0.030255230273728,0.000761245482866,0.099593689079452,0.005753564219943,0.178481326067591,0.088667757246116,0.065173525984238,0.054825625050304,0.395639659074928,0.008287917151652,0.011065280737837,0.283794601967730,0.255206152797206,0.304027594184672,0.005834085456907,0.628773770180061,0.058710435451928,0.093924715670572,0.103330008744864,0.138393991996087,0.439205222951129,0.194273379615106,0.737579415008003,0.006261019842147,0.059986590112990,0.145831817896628,0.267662845805089,0.194756952901445,0.045282822314272,0.198206290250587,0.045092368606520,0.003097882213964,0.142662836671183,0.053900027239752,0.043776182140347,0.390980419266234
"loc 00010",0.044078196865003,0.030784387798003,0.071144018828726,0.019303578022264,0.554171869871363,0.063501197416509,0.024076690448038,0.360458249676348,0.067284222870229,0.000000000000000,0.756467741612402,0.055394537660470,0.020146421895066,0.041529952896439,0.179936984449584,0.349137382630741,0.169626501666967,0.084610586538136,0.014485146326104,0.096833408622374,0.155442458286960,0.385982522335887,0.039053234103598,0.020905616402778,0.643639336772108,0.137240243458852,0.118440078811105,0.392984542024518,0.193047473110074,0.019146121692568,0.611384010807339,0.047812159969809,0.049974552988120,0.043103365096708,0.316453291037738,0.048597241970249,0.038783952370911,0.026454936562480,0.057859417442735,0.390930134431879,0.055285309972157,0.026372731230741,0.027940352696211,0.152909420060707,0.076212334594341,0.047518765729576,0.055152243035637,0.029745990522868,0.030441492442241,0.185286973565287,0.254248021664720,0.026018726230147,0.118776506797759,0.027629146770117,0.022997853173633,0.842177290393394,0.067115280045050,0.246497860345855,0.030424267478460,0.074076548936215,0.117223349990582,0.048020473927433,0.075122114909811,0.051332107973793,0.052374362702884,0.059335204862480,0.022568454564248,0.024890885480475,0.035543763583967,0.209600975356946,0.095792731720283,0.032946868658969,0.131166564157571,0.451855143415032,0.164363094055909,0.044382923982085,0.946578084206537,0.160932860189688,0.045968314453125,0.265509176245800,0.146219170544695,0.716991350507495,0.352218530412245,1.000000000000000,0.046443435485879,0.120785366848323,0.043279787247664,0.498067026093388,0.096439702506824,0.071082085952472,0.071127328214038,0.121609854295385,0.065272560859064,0.304918676940464,0.135326458475499,0.118264953235464,0.611815088413735
