Cuito	-12.38333	16.93333	AO	113624
Huambo	-12.77611	15.73917	AO	226145
Catumbela	-12.43002	13.54677	AO	16977
Catabola	-12.15	17.28333	AO	18855
Camacupa	-12.01667	17.48333	AO	19150
Caluquembe	-13.78333	14.68333	AO	30300
Caála	-12.8525	15.56056	AO	21205
Benguela	-12.57626	13.40547	AO	151226
Zárate	-34.09814	-59.02858	AR	88781
Villa Ortúzar	-34.57973	-58.46829	AR	22500
Villa Ocampo	-28.48752	-59.35515	AR	19101
Villa Lugano	-34.67907	-58.47263	AR	114000
Villaguay	-31.8653	-59.02689	AR	32027
Villa Gesell	-37.26394	-56.97304	AR	23257
Tigre	-34.42603	-58.57962	AR	31106
Tandil	-37.32167	-59.13316	AR	104325
San Vicente	-26.61667	-54.13333	AR	38247
Santo Tomé	-28.54939	-56.04077	AR	22634
Santa Elena	-30.94768	-59.78696	AR	18410
San Pedro	-26.62207	-54.10842	AR	23736
San Luis del Palmar	-27.5079	-58.55454	AR	15347
San Lorenzo	-28.13306	-58.76733	AR	47626
San Javier	-30.57781	-59.9317	AR	15606
San Isidro	-34.4721	-58.52708	AR	45190
Saladas	-28.25384	-58.62591	AR	18349
Retiro	-34.58333	-58.38333	AR	38635
Resistencia	-27.46056	-58.98389	AR	387158
Reconquista	-29.15	-59.65	AR	90184
Quilmes	-34.72904	-58.26374	AR	518788
Puerto Rico	-26.79598	-55.02402	AR	17491
Puerto Iguazú	-25.59912	-54.57355	AR	32038
Puerto Esperanza	-26.01517	-54.67306	AR	15579
Puerto Eldorado	-26.40843	-54.69463	AR	54189
Posadas	-27.36708	-55.89608	AR	323739
Pontevedra	-34.74785	-58.70072	AR	33515
Pirané	-25.73239	-59.10879	AR	19124
Paso de los Libres	-29.71251	-57.08771	AR	43805
Oberá	-27.48706	-55.11994	AR	56528
Necochea	-38.5545	-58.73961	AR	80478
Morón	-34.6509	-58.61956	AR	319934
Monte Caseros	-30.25359	-57.63626	AR	24671
Montecarlo	-26.5662	-54.757	AR	22229
